paper_id	0	1	2	3	4	5	6	7	8
RUzSobdYy0V	5.0	6.0	8.0						
N3kGYG3ZcTi	3.0	5.0	3.0	1.0					
tmIiMPl4IPa	8.0	6.0	3.0	8.0	3.0				
mhnHqRqcjYU	8.0	6.0	6.0						
sZI1Oj9KBKy	8.0	6.0	5.0	3.0					
I3HCE7Ro78H	6.0	6.0	8.0	6.0					
9Zx6tTcX0SE	3.0	6.0	3.0	8.0					
6iEoTr-jeB7	5.0	8.0	6.0						
Vx6G9W5M4sQ	3.0	5.0	5.0						
vzdrgR2nomD	8.0	3.0	8.0	8.0	3.0				
NOKUQ9JMohJ	5.0	6.0	5.0	5.0					
91efl6aSU2d	6.0	5.0	3.0						
KNL8KSH7b_F	5.0	5.0	6.0						
IQM-3_Tzldw	3.0	5.0	3.0	6.0					
pGR2gNO5c4p	5.0	3.0	5.0	6.0					
s6l6ks1iooc	3.0	5.0	5.0	3.0					
3uDXZZLBAwd	5.0	3.0	5.0						
QN_VgTeOYGl	3.0	3.0	6.0						
TZG_XsO4x6y	6.0	5.0	3.0	3.0					
yqe0BZeN_xH	6.0	3.0	5.0	1.0					
HTJE5Krui0g	10.0	8.0	5.0	5.0					
7YfHla7IxBJ	5.0	8.0	5.0						
N_g8TT9Cy7f	6.0	8.0	6.0	6.0					
Xj9V-stmIcO	5.0	5.0	5.0						
BO5_Lm7iD_	8.0	3.0	5.0	8.0					
jREF4bkfi_S	10.0	6.0	5.0	3.0					
Jdj0fZhswJC	3.0	5.0	8.0						
Rn50hCOX9XX	1.0	5.0	3.0	8.0					
eGWEfaW-5Yt	5.0	5.0	5.0						
pWVASryOyFw	6.0	5.0	8.0						
0OlEBibFa_g	5.0	1.0	3.0	3.0					
1Wo0vqaZ8WJ	6.0	6.0	5.0	5.0					
MjikLUwiB3M	5.0	3.0	6.0	3.0					
UPQualDj1oo	1.0	5.0	5.0	3.0					
9D5FH6LFbRu	3.0	5.0	6.0						
a-bD9-0ycs0	6.0	5.0	3.0	5.0					
ULzyv9M1j5	8.0	6.0	6.0						
hChYEyebNm1	6.0	5.0	3.0	3.0					
pgJp7rDc_hk	3.0	5.0	5.0						
EgJ0PbRPkCW	3.0	3.0	3.0						
0z_cXcu1N6o	5.0	3.0	3.0	3.0					
cZM4iZmxzR7	3.0	5.0	5.0	6.0					
gNI4_85Cyve									
1FsdIfRngtw	5.0	3.0	3.0	3.0					
zygzt8QFsV	1.0	1.0	1.0	3.0					
pW_jGk1D_Ww	6.0	5.0	3.0	6.0					
gHwpv9pSEP2	3.0	6.0	5.0	3.0					
tORS9qGBNpT	6.0	3.0	8.0						
17RDXeF-skZ	6.0	5.0	5.0						
ejR4E1jaH9k	8.0	6.0	5.0	6.0					
8Ygoj2IeXfW	3.0	3.0	6.0	5.0					
wSysC6I_S0z	5.0	3.0	3.0						
dNmkN_z72P4	5.0	3.0	3.0	3.0					
8XfHh4XSQ0Q	6.0	5.0	8.0	3.0					
r9fX833CsuN	6.0	8.0	6.0						
AqX3oSbzyQ1	3.0	5.0	3.0	3.0					
tPKKXeW33YU	8.0	5.0	6.0	6.0					
HGsoe1wmRW5	3.0	5.0	3.0						
P_48ZG7ySK	5.0	3.0	6.0	5.0					
3WYtm7UzsR	3.0	3.0	3.0						
_GcWoi0SQm	3.0	5.0	5.0	5.0					
o3Q4m8jg4BR	8.0	5.0	8.0	5.0					
X5ZMzRYqUjB	8.0	6.0	6.0	5.0					
VPX0ln_YoG	3.0	3.0	3.0						
oJpVVGXu9i	6.0	3.0	5.0	8.0					
JIptuwnqwn	3.0	3.0	1.0	3.0					
BDjGGZk9yz	3.0	1.0	3.0						
loc3CUXeuzH	3.0	5.0	3.0						
kL67fyKb6A	3.0	3.0	3.0	3.0					
WVZQa2QYJN	5.0	6.0	5.0						
jkMT2AtccX	6.0	6.0	6.0	3.0					
F5Cj26wfiu	1.0	5.0	6.0	3.0					
mmFtinp4wQ_	6.0	3.0	3.0	3.0					
5WOIluv9Xop	3.0	3.0	3.0	1.0					
-4HJSA3Y2vg	5.0	3.0	5.0	3.0					
eDLwjKmtYFt	8.0	3.0	6.0						
O_er9uNktN	6.0	3.0	8.0	5.0					
cUX2psP06OL	1.0	1.0	1.0						
-M0TNnyWFT5	6.0	6.0	5.0						
htL4UZ344nF	5.0	3.0	8.0	8.0					
fQejLClfsw	3.0	5.0	6.0	5.0					
me09xlTmm8	6.0	5.0	6.0	6.0					
8foynpwwRb	8.0	5.0	3.0	5.0					
GX0uI5T8kd	5.0	5.0	3.0	6.0					
UPwzqPOs4-	6.0	1.0	1.0	1.0					
1BEoYnjZVV	3.0	1.0	3.0						
4F1gvduDeL	8.0	6.0	8.0						
fyD8adDrXo	5.0	5.0	6.0						
Y1J29OryQg	5.0	6.0	3.0						
ywAjQw-spmY	5.0	3.0	3.0	5.0					
CcXTudu9bvu	3.0	3.0	6.0	6.0					
rwetAifrs16	5.0	6.0	5.0	3.0					
wRdGz0ZWYHF	1.0	3.0	5.0	6.0					
MW0hjtzYRkW	5.0	3.0	3.0	3.0					
HqVp0rNC8jn	8.0	6.0	5.0	3.0					
7bcrAxy00Jw	1.0	3.0	3.0						
m3DmIL7wHDW	3.0	3.0	5.0	6.0					
x-mXzBgCX3a	6.0	8.0	6.0	3.0					
rer10Bb-9Qn	5.0	5.0	3.0	3.0					
-UsbRlXzMG	3.0	3.0	3.0	5.0					
Wac06sAkHk	3.0	5.0	3.0	3.0					
18XzeuYZh_	6.0	8.0	3.0	5.0					
j8s-BRxXST	3.0	5.0	3.0	5.0					
L6CKiPH3hI	6.0	5.0	3.0						
FEAIArDldTA	3.0	3.0	6.0	8.0					
lKXcMB9tOFD	3.0	1.0	3.0	1.0					
47DzlkyH3dM	5.0	6.0	3.0						
mN43JdXmYMs	3.0	5.0	5.0	3.0					
r3-aLHxn2nB	3.0	3.0	3.0	5.0	8.0				
dpuAkczrTOt	5.0	6.0	3.0	8.0					
70-hEqC4Wo8	3.0	5.0	6.0	3.0	3.0				
-hMNEMgT8Wd	3.0	5.0	5.0	3.0					
TN9gQ4x0Ep3	8.0	8.0	3.0	6.0					
05ff9BRSMzE	3.0	3.0	3.0	6.0					
688hNNMigVX	8.0	8.0	8.0						
pcBJT4bgbpH	5.0	3.0	3.0	3.0					
ngV1BPp6xDc	5.0	3.0	5.0	5.0					
bjPPypbLre	6.0	8.0	5.0						
75O7S_L4oY	6.0	8.0	6.0	8.0					
WP0zFLrO01	3.0	1.0	3.0	6.0					
pvgEL1yS3Ql	6.0	8.0	5.0	5.0					
8zsK9lbna9L	3.0	6.0	6.0	5.0					
kqHkCVS7wbj	5.0	6.0	6.0						
gvOSQjGTtxj	3.0	6.0	5.0						
Z2oC6xxaWPL	5.0	5.0	6.0	5.0					
mnVf1W6ipGm	5.0	5.0	6.0	5.0					
Lgp4Y2Tor34	3.0	6.0	3.0	5.0					
LNpMtk15AS4	6.0	5.0	6.0	8.0					
BdcfKgE9dhF	6.0	6.0	5.0	6.0					
i8AnfJYMvz	6.0	3.0	3.0	8.0					
SEcSahl0Ql	5.0	5.0	6.0	6.0					
dyifcA9UuRo	6.0	8.0	5.0	5.0	5.0				
UazgYBMS9-W	3.0	6.0	6.0						
3c13LptpIph	3.0	5.0	6.0	3.0	5.0				
j7MnZOwaQ__	5.0	5.0	5.0	5.0					
eZN8nUXAVO7	3.0	5.0	6.0						
xfqDe72zh41	8.0	6.0	3.0						
KL6i1IdwQ6z	5.0	8.0	5.0						
ueEMZjY9WiM	8.0	3.0	3.0	6.0					
l6CpxixmUg	6.0	6.0	8.0						
ashgrQnYsm	5.0	5.0	6.0	8.0	3.0				
d5U-bPKPde	5.0	3.0	3.0	3.0					
oL2uVCVlyf	5.0	5.0	6.0	3.0					
j1HyTEWHTT	6.0	6.0	6.0	5.0					
jevY-DtiZTR	5.0	6.0	8.0	6.0					
